,price,lessons,rating,popular,newly_joined,has_diploma,approved_matirials,reviews,students_count,English,Spanish,Arabic,Italian,Russian,Turkish,Portuguese,German,Danish,Hebrew,French,teaches_count,last_booked,response_time,is_expensive
2350,62,168,5.0,0,0,0,0,10,5,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2351,9,33,5.0,1,0,1,0,1,4,7,0,0,0,0,0,0,0,0,0,0,1,1,10.0,0
2352,25,462,4.9,0,0,1,0,11,19,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2353,44,2,5.0,0,0,1,0,1,1,6,0,0,0,6,0,0,0,0,0,3,1,0,1.0,0
2354,47,318,4.8,0,0,0,0,6,10,6,0,0,0,0,0,0,6,0,0,0,1,0,1.0,0
2355,19,262,4.8,0,0,0,0,5,9,7,0,0,0,0,0,0,0,0,0,0,1,6,1.0,0
2356,124,4,0.0,0,1,1,0,0,4,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
2357,31,525,4.5,0,0,0,0,8,21,7,7,0,2,0,0,2,0,0,0,2,1,2,18.0,0
2358,37,22,0.0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,1,2.0,0
2359,9,240,5.0,0,0,1,0,5,9,7,0,0,0,0,0,0,0,0,0,7,1,1,4.0,0
2360,121,44,5.0,0,0,1,1,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1
2361,9,26,3.0,0,0,0,0,2,7,7,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2362,56,1,5.0,0,0,1,0,1,1,7,7,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2363,140,126,5.0,0,0,0,0,6,3,7,0,0,0,0,0,0,7,0,0,7,1,0,1.0,1
2364,37,564,5.0,0,0,0,0,10,10,7,0,0,0,1,0,0,0,0,0,7,1,3,5.0,0
2365,75,98,0.0,0,1,0,0,0,2,7,6,0,0,0,0,3,0,0,0,2,1,0,1.0,0
2366,100,7129,4.8,0,0,0,1,95,46,6,7,0,0,0,0,3,0,0,0,5,3,1,3.0,0
2367,16,6,0.0,0,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2368,47,110,5.0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2369,47,2338,4.8,0,0,1,0,23,11,6,0,0,0,7,0,0,0,0,0,0,3,1,2.0,0
2370,78,60,5.0,0,0,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,10.0,0
2371,53,22,0.0,0,1,0,0,0,1,7,3,0,0,0,0,7,0,0,0,0,1,3,1.0,0
2372,37,97,5.0,0,0,1,0,2,3,5,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0
2373,22,9,0.0,0,1,1,0,0,1,6,0,7,0,0,0,0,0,0,0,0,1,0,1.0,0
2374,16,624,4.5,0,0,0,0,14,5,7,0,0,0,0,0,0,0,0,0,5,1,0,1.0,0
2375,22,80,5.0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,1,1,2.0,0
2376,31,76,5.0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2377,62,0,0.0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2378,65,400,5.0,0,0,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,2,0,1.0,0
2379,59,421,5.0,0,0,1,0,9,15,7,5,6,3,0,0,0,0,0,0,7,1,2,1.0,0
2380,62,2295,4.7,0,0,0,0,112,13,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
2381,31,1,0.0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0
